Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS,Year,Pts Won,season_date
Corliss Williamson,4.7,9.4,0.498,0.0,0.0,0.0,4.7,9.4,0.5,0.498,2.2,3.2,0.689,11.6,1997,0.0,1997-01-01
Mahmoud Abdul-Rauf,3.3,8.8,0.377,0.2,1.0,0.161,3.2,7.8,0.405,0.386,0.5,0.5,1.0,7.3,1998,0.0,1998-01-01
Tariq Abdul-Wahad,2.4,6.1,0.403,0.1,0.3,0.211,2.4,5.7,0.414,0.409,1.4,2.1,0.672,6.4,1998,0.0,1998-01-01
Terry Dehere,2.3,5.9,0.399,0.6,1.7,0.379,1.7,4.1,0.408,0.455,1.0,1.3,0.798,6.4,1998,0.0,1998-01-01
Lawrence Funderburke,3.7,7.5,0.49,0.0,0.1,0.143,3.7,7.4,0.496,0.491,2.1,3.1,0.679,9.5,1998,0.0,1998-01-01
Derek Grimm,0.4,1.6,0.286,0.4,1.3,0.333,0.0,0.2,0.0,0.429,0.2,0.2,1.0,1.6,1998,0.0,1998-01-01
Mark Hendrickson,1.2,3.1,0.389,0.0,0.1,0.0,1.2,3.0,0.403,0.389,1.0,1.2,0.825,3.4,1998,0.0,1998-01-01
Anthony Johnson,2.9,7.9,0.371,0.5,1.7,0.328,2.4,6.2,0.383,0.406,1.0,1.4,0.727,7.5,1998,0.0,1998-01-01
Billy Owens,4.3,9.3,0.464,0.3,0.9,0.371,4.0,8.4,0.474,0.482,1.5,2.5,0.589,10.5,1998,0.0,1998-01-01
Olden Polynice,3.6,7.7,0.459,0.0,0.0,0.0,3.6,7.7,0.46,0.459,0.7,1.6,0.452,7.9,1998,0.0,1998-01-01
Mitch Richmond,7.8,17.4,0.445,1.9,4.8,0.389,5.9,12.7,0.466,0.498,5.8,6.7,0.864,23.2,1998,3.0,1998-01-01
Chris Robinson,1.9,5.0,0.374,0.7,1.9,0.364,1.2,3.1,0.38,0.443,0.2,0.5,0.5,4.6,1998,0.0,1998-01-01
Kevin Salvadori,0.1,0.8,0.077,0.0,0.0,0.0,0.1,0.8,0.077,0.077,0.2,0.4,0.5,0.3,1998,0.0,1998-01-01
Michael Stewart,1.9,4.0,0.48,0.0,0.0,0.0,1.9,4.0,0.48,0.48,0.8,1.8,0.458,4.6,1998,0.0,1998-01-01
Otis Thorpe,4.0,8.4,0.471,0.0,0.1,0.0,4.0,8.4,0.475,0.471,2.2,3.2,0.683,10.2,1998,0.0,1998-01-01
Corliss Williamson,7.1,14.4,0.495,0.0,0.1,0.0,7.1,14.2,0.499,0.495,3.5,5.6,0.63,17.7,1998,0.0,1998-01-01
Mahmoud Abdul-Rauf,2.9,6.0,0.488,0.1,0.3,0.286,2.8,5.7,0.5,0.496,0.5,0.7,0.759,6.5,2001,0.0,2001-01-01
Shareef Abdur-Rahim,7.5,15.8,0.472,0.1,0.8,0.188,7.3,15.0,0.487,0.477,5.5,6.6,0.834,20.5,2001,0.0,2001-01-01
Isaac Austin,1.8,5.2,0.356,0.1,0.5,0.25,1.7,4.7,0.366,0.367,0.5,0.8,0.7,4.3,2001,0.0,2001-01-01
Mike Bibby,6.4,14.1,0.454,1.3,3.5,0.379,5.1,10.6,0.478,0.5,1.7,2.3,0.761,15.9,2001,0.0,2001-01-01
Michael Dickerson,6.1,14.6,0.417,1.2,3.3,0.374,4.8,11.3,0.429,0.459,2.9,3.9,0.763,16.3,2001,0.0,2001-01-01
Kevin Edwards,1.2,3.7,0.329,0.1,0.4,0.263,1.1,3.3,0.338,0.344,0.9,1.2,0.811,3.5,2001,0.0,2001-01-01
Damon Jones,2.4,5.9,0.409,1.2,3.3,0.364,1.2,2.6,0.465,0.51,0.5,0.7,0.712,6.5,2001,0.0,2001-01-01
Grant Long,2.1,4.8,0.439,0.1,0.2,0.267,2.1,4.6,0.447,0.445,1.7,2.4,0.713,6.0,2001,0.0,2001-01-01
